sep=,
type_sped,block,code,required,in_required,out_required,level,card,spec_required,spec_in,spec_out,desc,register,index,code,type,required,in_required,out_required,conditional_required,conditional_out_required,conditional_in_required,length,xsd_type,decimal,spec_type,spec_required,spec_in,spec_out,values,spec_values,rules,desc
EFD-ICMS-IPI,0,0300,True,,,2,V,O,,,Cadastro de bens ou componentes do Ativo Imobilizado,0300,2,COD_IND_BEM,char,True,,,,,,060,,,C,O,,,,,,Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante
EFD-ICMS-IPI,0,0300,True,,,2,V,O,,,Cadastro de bens ou componentes do Ativo Imobilizado,0300,3,IDENT_MERC,char,True,,,,,,001*,,,C,O,,,,,,Identificação do tipo de mercadoria: 1 = bem; 2 = componente.
EFD-ICMS-IPI,0,0300,True,,,2,V,O,,,Cadastro de bens ou componentes do Ativo Imobilizado,0300,4,DESCR_ITEM,char,True,,,,,,,,,C,O,,,,,,"Descrição do bem ou componente (modelo, marca e outras características necessárias a sua individualização)"
EFD-ICMS-IPI,0,0300,True,,,2,V,O,,,Cadastro de bens ou componentes do Ativo Imobilizado,0300,5,COD_PRNC,char,,,,True,,,060,,,C,OC,,,,,,Código de cadastro do bem principal nos casos em que o bem ou componente (campo 02) esteja vinculado a um bem principal.
EFD-ICMS-IPI,0,0300,True,,,2,V,O,,,Cadastro de bens ou componentes do Ativo Imobilizado,0300,6,COD_CTA,char,True,,,,,,060,,,C,O,,,,,,Código da conta analítica de contabilização do bem ou componente (campo 06 do Registro 0500)
EFD-ICMS-IPI,0,0300,True,,,2,V,O,,,Cadastro de bens ou componentes do Ativo Imobilizado,0300,7,NR_PARC,char,,,,True,,,003,numeric_code,,N,OC,,,,,,"Número total de parcelas a serem apropriadas, segundo a legislação de cada unidade federada"
EFD-ICMS-IPI,0,0305,True,,,3,1:1,O,,,Informação sobre a Utilização do Bem,0305,2,COD_CCUS,char,True,,,,,,060,,,C,O,,,,,,Código do centro de custo onde o bem está sendo ou será utilizado (campo 03 do Registro 0600)
EFD-ICMS-IPI,0,0305,True,,,3,1:1,O,,,Informação sobre a Utilização do Bem,0305,3,FUNC,char,True,,,,,,,,,C,O,,,,,,Descrição sucinta da função do bem na atividade do estabelecimento
EFD-ICMS-IPI,0,0305,True,,,3,1:1,O,,,Informação sobre a Utilização do Bem,0305,4,VIDA_UTIL,char,,,,True,,,003,numeric_code,,N,OC,,,,,,"Vida útil estimada do bem, em número de meses"
EFD-ICMS-IPI,0,0500,True,,,2,V,O,,,Plano de contas contábeis,0500,2,DT_ALT,date,True,,,,,,008*,,,N,O,,,,,,Data da inclusão/alteração
EFD-ICMS-IPI,0,0500,True,,,2,V,O,,,Plano de contas contábeis,0500,3,COD_NAT_CC,char,True,,,,,,002*,,,C,O,,,,,,Código da natureza da conta/grupo de contas: 01 - Contas de ativo; 02 - Contas de passivo; 03 - Patrimônio líquido; 04 - Contas de resultado; 05 - Contas de compensação; 09 - Outras.
EFD-ICMS-IPI,0,0500,True,,,2,V,O,,,Plano de contas contábeis,0500,4,IND_CTA,char,True,,,,,,001*,,,C,O,,,,,,Indicador do tipo de conta: S - Sintética (grupo de contas); A - Analítica (conta).
EFD-ICMS-IPI,0,0500,True,,,2,V,O,,,Plano de contas contábeis,0500,5,NIVEL,char,True,,,,,,005,numeric_code,,N,O,,,,,,Nível da conta analítica/grupo de contas.
EFD-ICMS-IPI,0,0500,True,,,2,V,O,,,Plano de contas contábeis,0500,6,COD_CTA,char,True,,,,,,60,,,C,O,,,,,,Código da conta analítica/grupo de contas.
EFD-ICMS-IPI,0,0500,True,,,2,V,O,,,Plano de contas contábeis,0500,7,NOME_CTA,char,True,,,,,,60,,,C,O,,,,,,Nome da conta analítica/grupo de contas.
EFD-ICMS-IPI,0,0600,True,,,2,V,O,,,Centro de custos,0600,2,DT_ALT,date,True,,,,,,008*,,,N,O,,,,,,Data da inclusão/alteração.
EFD-ICMS-IPI,0,0600,True,,,2,V,O,,,Centro de custos,0600,3,COD_CCUS,char,True,,,,,,060,,,C,O,,,,,,Código do centro de custos.
EFD-ICMS-IPI,0,0600,True,,,2,V,O,,,Centro de custos,0600,4,CCUS,char,True,,,,,,060,,,C,O,,,,,,Nome do centro de custos.
EFD-ICMS-IPI,G,G001,True,,,1,1,O,,,Abertura do Bloco G,G001,2,IND_MOV,char,True,,,,,,001*,,,C,O,,,,,,Indicador de movimento: 0- Bloco com dados informados; 1- Bloco sem dados informados
EFD-ICMS-IPI,G,G110,True,,,2,V,O,,,ICMS – Ativo Permanente – CIAP,G110,2,DT_INI,date,True,,,,,,008*,,,N,O,,,,,,Data inicial a que a apuração se refere
EFD-ICMS-IPI,G,G110,True,,,2,V,O,,,ICMS – Ativo Permanente – CIAP,G110,3,DT_FIN,date,True,,,,,,008*,,,N,O,,,,,,Data final a que a apuração se refere
EFD-ICMS-IPI,G,G110,True,,,2,V,O,,,ICMS – Ativo Permanente – CIAP,G110,4,SALDO_IN_ICMS,float,True,,,,,,,,02,N,O,,,,,,"Saldo inicial de ICMS do CIAP, composto por ICMS de bens que entraram anteriormente ao período de apuração (somatório dos campos 05 a 08 dos registros G125)"
EFD-ICMS-IPI,G,G110,True,,,2,V,O,,,ICMS – Ativo Permanente – CIAP,G110,5,SOM_PARC,float,True,,,,,,,,02,N,O,,,,,,Somatório das parcelas de ICMS passível de apropriação de cada bem (campo 10 do G125)
EFD-ICMS-IPI,G,G110,True,,,2,V,O,,,ICMS – Ativo Permanente – CIAP,G110,6,VL_TRIB_EXP,float,True,,,,,,,,02,N,O,,,,,,Valor do somatório das saídas tributadas e saídas para exportação
EFD-ICMS-IPI,G,G110,True,,,2,V,O,,,ICMS – Ativo Permanente – CIAP,G110,7,VL_TOTAL,float,True,,,,,,,,02,N,O,,,,,,Valor total de saídas
EFD-ICMS-IPI,G,G110,True,,,2,V,O,,,ICMS – Ativo Permanente – CIAP,G110,8,IND_PER_SAI,char,True,,,,,,,numeric_code,08,N,O,,,,,,Índice de participação do valor do somatório das saídas tributadas e saídas para exportação no valor total de saídas (Campo 06 dividido pelo campo 07)
EFD-ICMS-IPI,G,G110,True,,,2,V,O,,,ICMS – Ativo Permanente – CIAP,G110,9,ICMS_APROP,float,True,,,,,,,,02,N,O,,,,,,"Valor de ICMS a ser apropriado na apuração do ICMS, correspondente à multiplicação do campo 05 pelo campo 08."
EFD-ICMS-IPI,G,G110,True,,,2,V,O,,,ICMS – Ativo Permanente – CIAP,G110,10,SOM_ICMS_OC,float,True,,,,,,,,02,N,O,,,,,,"Valor de outros créditos a ser apropriado na Apuração do ICMS, correspondente ao somatório do campo 09 do registro G126."
EFD-ICMS-IPI,G,G125,True,,,3,1:N,O,,,Movimentação de bem ou componente do Ativo Imobilizado,G125,2,COD_IND_BEM,char,True,,,,,,060,,,C,O,,,,,,Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante
EFD-ICMS-IPI,G,G125,True,,,3,1:N,O,,,Movimentação de bem ou componente do Ativo Imobilizado,G125,3,DT_MOV,date,True,,,,,,008*,,,N,O,,,,,,Data da movimentação ou do saldo inicial
EFD-ICMS-IPI,G,G125,True,,,3,1:N,O,,,Movimentação de bem ou componente do Ativo Imobilizado,G125,4,TIPO_MOV,char,True,,,,,,002*,,,C,O,,,,,,"Tipo de movimentação do bem ou componente: SI = Saldo inicial de bens imobilizados; IM = Imobilização de bem individual; IA = Imobilização em Andamento - Componente; CI = Conclusão de Imobilização em Andamento – Bem Resultante; MC = Imobilização oriunda do Ativo Circulante; BA = Baixa do bem - Fim do período de apropriação; AT = Alienação ou Transferência; PE = Perecimento, Extravio ou Deterioração; OT = Outras Saídas do Imobilizado"
EFD-ICMS-IPI,G,G125,True,,,3,1:N,O,,,Movimentação de bem ou componente do Ativo Imobilizado,G125,5,VL_IMOB_ICMS_OP,float,,,,True,,,,,02,N,OC,,,,,,Valor do ICMS da Operação Própria na entrada do bem ou componente
EFD-ICMS-IPI,G,G125,True,,,3,1:N,O,,,Movimentação de bem ou componente do Ativo Imobilizado,G125,6,VL_IMOB_ICMS_ST,float,,,,True,,,,,02,N,OC,,,,,,Valor do ICMS da Oper. por Sub. Tributária na entrada do bem ou componente
EFD-ICMS-IPI,G,G125,True,,,3,1:N,O,,,Movimentação de bem ou componente do Ativo Imobilizado,G125,7,VL_IMOB_ICMS_FRT,float,,,,True,,,,,02,N,OC,,,,,,Valor do ICMS sobre Frete do Conhecimento de Transporte na entrada do bem ou componente
EFD-ICMS-IPI,G,G125,True,,,3,1:N,O,,,Movimentação de bem ou componente do Ativo Imobilizado,G125,8,VL_IMOB_ICMS_DIF,float,,,,True,,,,,02,N,OC,,,,,,"Valor do ICMS - Diferencial de Alíquota, conforme Doc. de Arrecadação, na entrada do bem ou componente"
EFD-ICMS-IPI,G,G125,True,,,3,1:N,O,,,Movimentação de bem ou componente do Ativo Imobilizado,G125,9,NUM_PARC,char,,,,True,,,003,numeric_code,,N,OC,,,,,,Número da parcela do ICMS
EFD-ICMS-IPI,G,G125,True,,,3,1:N,O,,,Movimentação de bem ou componente do Ativo Imobilizado,G125,10,VL_PARC_PASS,float,,,,True,,,,,02,N,OC,,,,,,Valor da parcela de ICMS passível de apropriação (antes da aplicação da participação percentual do valor das saídas tributadas/exportação sobre as saídas totais)
EFD-ICMS-IPI,G,G126,True,,,4,1:N,O,,,Outros créditos CIAP,G126,2,DT_INI,date,True,,,,,,008*,,,N,O,,,,,,Data inicial do período de apuração
EFD-ICMS-IPI,G,G126,True,,,4,1:N,O,,,Outros créditos CIAP,G126,3,DT_FIM,date,True,,,,,,008*,,,N,O,,,,,,Data final do período de apuração
EFD-ICMS-IPI,G,G126,True,,,4,1:N,O,,,Outros créditos CIAP,G126,4,NUM_PARC,char,True,,,,,,003,numeric_code,,N,O,,,,,,Número da parcela do ICMS
EFD-ICMS-IPI,G,G126,True,,,4,1:N,O,,,Outros créditos CIAP,G126,5,VL_PARC_PASS,float,True,,,,,,,,02,N,O,,,,,,Valor da parcela de ICMS passível de apropriação - antes da aplicação da participação percentual do valor das saídas tributadas/exportação sobre as saídas totais
EFD-ICMS-IPI,G,G126,True,,,4,1:N,O,,,Outros créditos CIAP,G126,6,VL_TRIB_OC,float,True,,,,,,,,02,N,O,,,,,,Valor do somatório das saídas tributadas e saídas para exportação no período indicado neste registro
EFD-ICMS-IPI,G,G126,True,,,4,1:N,O,,,Outros créditos CIAP,G126,7,VL_TOTAL,float,True,,,,,,,,02,N,O,,,,,,Valor total de saídas no período indicado neste registro
EFD-ICMS-IPI,G,G126,True,,,4,1:N,O,,,Outros créditos CIAP,G126,8,IND_PER_SAI,char,True,,,,,,,numeric_code,08,N,O,,,,,,Índice de participação do valor do somatório das saídas tributadas e saídas para exportação no valor total de saídas (Campo 06 dividido pelo campo 07)
EFD-ICMS-IPI,G,G126,True,,,4,1:N,O,,,Outros créditos CIAP,G126,9,VL_PARC_APROP,float,True,,,,,,,,02,N,O,,,,,,Valor de outros créditos de ICMS a ser apropriado na apuração (campo 05 vezes o campo 08)
EFD-ICMS-IPI,G,G130,True,,,4,1:N,O,,,Identificação do documento fiscal,G130,2,IND_EMIT,char,True,,,,,,001*,,,C,O,,,,,,Indicador do emitente do documento fiscal: 0- Emissão própria; 1- Terceiros
EFD-ICMS-IPI,G,G130,True,,,4,1:N,O,,,Identificação do documento fiscal,G130,3,COD_PART,char,True,,,,,,060,,,C,O,,,,,,"Código do participante: - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas"
EFD-ICMS-IPI,G,G130,True,,,4,1:N,O,,,Identificação do documento fiscal,G130,4,COD_MOD,char,True,,,,,,002*,,,C,O,,,,,,"Código do modelo de documento fiscal, conforme tabela 4.1.1"
EFD-ICMS-IPI,G,G130,True,,,4,1:N,O,,,Identificação do documento fiscal,G130,5,SERIE,char,,,,True,,,003,,,C,OC,,,,,,Série do documento fiscal
EFD-ICMS-IPI,G,G130,True,,,4,1:N,O,,,Identificação do documento fiscal,G130,6,NUM_DOC,char,True,,,,,,009,numeric_code,,N,O,,,,,,Número de documento fiscal
EFD-ICMS-IPI,G,G130,True,,,4,1:N,O,,,Identificação do documento fiscal,G130,7,CHV_NFE_CTE,char,,,,True,,,044*,numeric_code,,N,OC,,,,,,Chave do documento fiscal eletrônico
EFD-ICMS-IPI,G,G130,True,,,4,1:N,O,,,Identificação do documento fiscal,G130,8,DT_DOC,date,True,,,,,,008*,,,N,O,,,,,,Data da emissão do documento fiscal
EFD-ICMS-IPI,G,G130,True,,,4,1:N,O,,,Identificação do documento fiscal,G130,9,NUM_DA,char,,,,True,,,,,,C,OC,,,,,,"Número do documento de arrecadação estadual, se houver"
EFD-ICMS-IPI,G,G140,True,,,5,1:N,O,,,Identificação do item do documento fiscal,G140,2,NUM_ITEM,char,True,,,,,,003,numeric_code,,N,O,,,,,,Número sequencial do item no documento fiscal
EFD-ICMS-IPI,G,G140,True,,,5,1:N,O,,,Identificação do item do documento fiscal,G140,3,COD_ITEM,char,True,,,,,,060,,,C,O,,,,,,Código correspondente do bem no documento fiscal (campo 02 do registro 0200)
EFD-ICMS-IPI,G,G140,True,,,5,1:N,O,,,Identificação do item do documento fiscal,G140,4,QTDE,float,True,,,,,,,,05,N,O,,,,,,"Quantidade, deste item da nota fiscal, que foi aplicada neste bem, expressa na mesma unidade constante no documento fiscal de entrada"
EFD-ICMS-IPI,G,G140,True,,,5,1:N,O,,,Identificação do item do documento fiscal,G140,5,UNID,char,True,,,,,,6,,,C,O,,,,,,Unidade do item constante no documento fiscal de entrada
EFD-ICMS-IPI,G,G140,True,,,5,1:N,O,,,Identificação do item do documento fiscal,G140,6,VL_ICMS_OP_APLICADO,,True,,,,,,,,02,N ou,O,,,,,,"Valor do ICMS da Operação Própria na entrada do item, proporcional à quantidade aplicada no bem componente."
